date,open,start,close,end,aers
17/04/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
18/04/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
19/04/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
22/04/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
23/04/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
24/04/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
25/04/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
26/04/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
27/04/2025,8h00,18h00,22h00,22h00,"688782d6b0b4bfb03afe06f6,68878346b0b4bfb03afe0707"
28/04/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
29/04/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
30/04/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
02/05/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
03/05/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
05/05/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
06/05/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
07/05/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
09/05/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
10/05/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
12/05/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
13/05/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
14/05/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
15/05/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
16/05/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
17/05/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
19/05/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
20/05/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
21/05/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
22/05/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
23/05/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
24/05/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
26/05/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
27/05/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
28/05/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
30/05/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
31/05/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
02/06/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
03/06/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
04/06/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
05/06/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
06/06/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
07/06/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
10/06/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
11/06/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
12/06/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
13/06/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
14/06/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
16/06/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
17/06/2025,8h00,18h00,22h00,22h00,68878309b0b4bfb03afe06fe
18/06/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
19/06/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
20/06/2025,8h00,18h00,22h00,22h00,68878394b0b4bfb03afe0734
23/06/2025,8h00,18h00,22h00,22h00,688782d6b0b4bfb03afe06f6
24/06/2025,8h00,18h00,22h00,22h00,68878346b0b4bfb03afe0707
25/06/2025,8h00,18h00,22h00,22h00,688783dcb0b4bfb03afe074d
26/06/2025,8h00,18h00,22h00,22h00,6887826db0b4bfb03afe06e9
27/06/2025,8h00,18h00,22h00,22h00,688782b5b0b4bfb03afe06ef
